epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,1272.83,1.31435,1.19975,1.46636,0.78518,0.68555,0.78675,0.4655,1.51874,1.11204,1.66443,0.0088516,0.0088516,0.0088516
60,1294.54,1.31604,1.17251,1.4711,0.60983,0.72807,0.70502,0.4409,1.48964,1.09183,1.6339,0.0088318,0.0088318,0.0088318
61,1316.22,1.31391,1.17129,1.47083,0.60655,0.74225,0.73002,0.48279,1.42955,1.01877,1.59872,0.008812,0.008812,0.008812
62,1337.89,1.30465,1.16784,1.44602,0.65909,0.59594,0.69983,0.3835,1.54353,1.37932,1.6701,0.0087922,0.0087922,0.0087922
63,1359.49,1.29748,1.14297,1.44593,0.76492,0.83522,0.80652,0.45081,1.50044,1.08419,1.59159,0.0087724,0.0087724,0.0087724
64,1381.06,1.30287,1.1468,1.45338,0.6434,0.69387,0.6903,0.4406,1.45928,1.06311,1.62671,0.0087526,0.0087526,0.0087526
65,1402.68,1.27629,1.14265,1.43369,0.64059,0.74412,0.73977,0.43572,1.4655,1.17443,1.57505,0.0087328,0.0087328,0.0087328
66,1424.36,1.2845,1.14561,1.42661,0.61255,0.75238,0.74226,0.39909,1.59958,1.24526,1.69735,0.008713,0.008713,0.008713
67,1446.52,1.28824,1.14392,1.4431,0.63328,0.83146,0.79531,0.41588,1.66662,1.16775,1.75393,0.0086932,0.0086932,0.0086932
68,1470.5,1.2863,1.12731,1.4462,0.5783,0.71798,0.68929,0.41639,1.49148,1.14551,1.63028,0.0086734,0.0086734,0.0086734
69,1495.19,1.28564,1.1464,1.44357,0.66282,0.63907,0.7072,0.39351,1.48012,1.15701,1.61822,0.0086536,0.0086536,0.0086536
70,1519.42,1.28252,1.12549,1.43673,0.52182,0.43396,0.5222,0.22874,1.9543,1.98107,2.15581,0.0086338,0.0086338,0.0086338
71,1543.09,1.27921,1.1433,1.44388,0.63391,0.71027,0.7609,0.44775,1.43096,1.13302,1.54205,0.008614,0.008614,0.008614
72,1564.8,1.26811,1.12869,1.43472,0.66708,0.79716,0.77138,0.45516,1.50218,0.97121,1.6688,0.0085942,0.0085942,0.0085942
73,1586.53,1.27075,1.12419,1.43276,0.74158,0.74148,0.7912,0.47674,1.5339,0.9759,1.63986,0.0085744,0.0085744,0.0085744
74,1608.06,1.27249,1.10818,1.4188,0.81727,0.67043,0.74948,0.42215,1.55067,1.08083,1.66831,0.0085546,0.0085546,0.0085546
75,1629.46,1.26986,1.12214,1.42567,0.62688,0.70629,0.69923,0.40849,1.52571,1.18765,1.618,0.0085348,0.0085348,0.0085348
76,1651.07,1.26545,1.10128,1.42127,0.81523,0.72681,0.81255,0.48444,1.55466,0.88283,1.67312,0.008515,0.008515,0.008515
77,1672.69,1.2484,1.08189,1.41256,0.48,0.65329,0.58302,0.28545,1.69736,1.50801,1.81968,0.0084952,0.0084952,0.0084952
78,1694.81,1.24783,1.08404,1.40893,0.52945,0.7524,0.69778,0.40069,1.55264,1.1744,1.67943,0.0084754,0.0084754,0.0084754
79,1716.64,1.26103,1.09801,1.42732,0.53326,0.52325,0.5789,0.25728,1.84975,1.73122,1.99925,0.0084556,0.0084556,0.0084556
80,1737.32,1.25473,1.08212,1.41755,0.62902,0.77222,0.72285,0.40365,1.66481,1.2044,1.78045,0.0084358,0.0084358,0.0084358
81,1757.3,1.2624,1.10417,1.43173,0.58941,0.70928,0.6826,0.36863,1.57426,1.27831,1.76022,0.008416,0.008416,0.008416
82,1777.16,1.2646,1.08894,1.42572,0.61362,0.77253,0.74311,0.44854,1.51824,1.06473,1.58745,0.0083962,0.0083962,0.0083962
83,1796.86,1.23799,1.05958,1.39393,0.6103,0.76116,0.72017,0.39809,1.64162,1.25029,1.77723,0.0083764,0.0083764,0.0083764
84,1816.66,1.24818,1.071,1.41009,0.71205,0.67863,0.76155,0.42705,1.66837,1.00689,1.79707,0.0083566,0.0083566,0.0083566
85,1836.46,1.22677,1.06981,1.39875,0.6637,0.73145,0.75766,0.44202,1.51986,1.01403,1.63952,0.0083368,0.0083368,0.0083368
86,1856.69,1.23865,1.05357,1.39995,0.68454,0.47118,0.53437,0.25037,1.68982,1.91932,1.9268,0.008317,0.008317,0.008317
87,1876.93,1.23208,1.05875,1.39443,0.72299,0.76339,0.79993,0.47112,1.55383,1.00472,1.6601,0.0082972,0.0082972,0.0082972
88,1897.7,1.23708,1.05054,1.39849,0.65698,0.78732,0.75532,0.42651,1.61061,1.0573,1.74856,0.0082774,0.0082774,0.0082774
89,1919.04,1.2267,1.07224,1.40256,0.64795,0.72747,0.71813,0.40324,1.53378,1.11592,1.62469,0.0082576,0.0082576,0.0082576
90,1940.05,1.22812,1.05441,1.39328,0.68993,0.73607,0.7876,0.44789,1.43386,1.11473,1.56302,0.0082378,0.0082378,0.0082378
91,1961.12,1.24822,1.0723,1.41967,0.6564,0.72847,0.73855,0.40825,1.52453,1.14487,1.61801,0.008218,0.008218,0.008218
92,1982.24,1.21881,1.0332,1.39576,0.72926,0.75822,0.74628,0.43978,1.53421,0.94135,1.65041,0.0081982,0.0081982,0.0081982
93,2003.35,1.22057,1.02802,1.38954,0.80461,0.7186,0.76555,0.48081,1.37197,0.97286,1.49882,0.0081784,0.0081784,0.0081784
94,2024.31,1.21519,1.03932,1.38842,0.72949,0.74255,0.76746,0.44462,1.53785,0.99156,1.67049,0.0081586,0.0081586,0.0081586
95,2045.25,1.20399,1.03817,1.38319,0.7221,0.71546,0.75346,0.45736,1.57234,0.93831,1.68587,0.0081388,0.0081388,0.0081388
96,2066.43,1.21115,1.03771,1.38597,0.7093,0.72362,0.76131,0.43381,1.6187,0.92823,1.70361,0.008119,0.008119,0.008119
97,2088.76,1.22682,1.02392,1.3962,0.63602,0.82534,0.75166,0.43969,1.49549,1.08839,1.56132,0.0080992,0.0080992,0.0080992
98,2112.14,1.22088,1.03759,1.38804,0.66182,0.80397,0.74456,0.41378,1.4955,1.04986,1.62637,0.0080794,0.0080794,0.0080794
99,2136.41,1.20561,1.03122,1.37646,0.69387,0.69729,0.70869,0.36907,1.68533,1.32268,1.81328,0.0080596,0.0080596,0.0080596
100,2160.43,1.19507,0.99556,1.36546,0.69827,0.7955,0.79527,0.42936,1.63383,1.14981,1.72578,0.0080398,0.0080398,0.0080398
101,2184.41,1.17182,0.99896,1.36041,0.7319,0.74311,0.78513,0.43113,1.5237,1.02282,1.63343,0.00802,0.00802,0.00802
102,2208.18,1.20332,1.02242,1.37847,0.69003,0.66138,0.66097,0.41281,1.62143,1.0972,1.66106,0.0080002,0.0080002,0.0080002
103,2231.97,1.18994,0.99066,1.35927,0.79876,0.73383,0.81446,0.42105,1.65837,1.14853,1.73348,0.0079804,0.0079804,0.0079804
104,2255.42,1.19901,1.00369,1.36806,0.71897,0.79197,0.80563,0.45822,1.57813,0.98305,1.67816,0.0079606,0.0079606,0.0079606
105,2279.27,1.19532,1.00858,1.37842,0.69764,0.77687,0.76059,0.42709,1.57197,1.0573,1.68664,0.0079408,0.0079408,0.0079408
106,2302.93,1.19673,1.00488,1.35443,0.72947,0.78235,0.79346,0.46697,1.49239,1.00566,1.61339,0.007921,0.007921,0.007921
107,2326.56,1.20346,1.00358,1.37145,0.69532,0.77059,0.7801,0.46586,1.50653,0.9241,1.61086,0.0079012,0.0079012,0.0079012
108,2350.27,1.19661,0.99818,1.37806,0.77795,0.70149,0.73048,0.41452,1.60868,1.06919,1.68914,0.0078814,0.0078814,0.0078814
109,2374.32,1.18755,0.99325,1.36458,0.70855,0.69694,0.73688,0.46468,1.41841,1.07033,1.53098,0.0078616,0.0078616,0.0078616
110,2397.91,1.18586,0.98701,1.36119,0.68059,0.71112,0.72908,0.35698,1.56685,1.17963,1.70779,0.0078418,0.0078418,0.0078418
111,2421.38,1.16242,0.97901,1.35227,0.67552,0.67082,0.71017,0.37647,1.64555,1.03749,1.78353,0.007822,0.007822,0.007822
